dateTime,seconds,milliSeconds,sdFreeSpaceMb,loopTimeMs,workingTimeMs,freeMemoryBytes,currentState,controllerPower,serialAndBleBuffer,rgbDevice,buttonMode,buttonPower,throttleLevelPerCent,altitudeALm,altitudeSLm,pressure_hPa,temperatureDC,verticalSpeedMps,engineLevelOutP1024,engineMode,autotuneEnabled,pidTargetAltitudeM,0-0,0-1,0-2,0-3,0-4,0-5,0-6,0-7,1-0,1-1,1-2,1-3,1-4,1-5,1-6,1-7,2-0,2-1,2-2,2-3,2-4,2-5,2-6,2-7,3-0,3-1,3-2,3-3,3-4,3-5,3-6,3-7,4-0,4-1,4-2,4-3,4-4,4-5,4-6,4-7,batteryV,batteryA,revolutionsRpm,controllerTempDC,motorTempDC,batteryTempDC,requestedOutputPwmPC,realOutputPwmPC,remainingBatteryCapacityPC,remainingBatteryCapacityFromCanPC,Warnings,Failures,messagesReceived,messagesSent
2021-07-01 18:26:56,731,731182,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.90,26.19,-0.40,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,0,0,0,0,149,100,46,,,4,17
2021-07-01 18:26:56,731,731307,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.90,26.19,-0.40,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,219,255,0,0,0,0,,,,,,,,,51.90,0.30,0,0,0,0,0,149,100,46,,,5,18
2021-07-01 18:26:56,731,731431,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.90,26.19,-0.40,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,0,0,0,0,149,100,46,,,5,19
2021-07-01 18:26:56,731,731556,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.91,26.19,-0.40,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,22,73,18,0,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,6,20
2021-07-01 18:26:56,731,731681,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.91,26.19,-0.40,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,6,21
2021-07-01 18:26:56,731,731807,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.91,26.19,-0.20,0,1,,0.00,0,0,0,0,0,0,0,0,163,11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,7,22
2021-07-01 18:26:56,731,731931,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.91,26.19,-0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,7,23
2021-07-01 18:26:57,732,732050,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.91,26.19,-0.20,0,1,,0.00,0,0,0,0,0,0,0,0,162,11,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.00,0,22,73,18,0,149,100,46,,,8,24
2021-07-01 18:26:57,732,732174,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.91,26.19,-0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,1,6,2,51.80,0.00,0,22,73,18,0,149,100,46,,,9,25
2021-07-01 18:26:57,732,732299,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.00,0,22,73,18,0,149,100,46,,,9,26
2021-07-01 18:26:57,732,732432,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,162,11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,46,,,10,27
2021-07-01 18:26:57,732,732556,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,46,,,10,28
2021-07-01 18:26:57,732,732682,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.93,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,163,11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,11,29
2021-07-01 18:26:57,732,732806,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,11,30
2021-07-01 18:26:57,732,732932,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.93,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,219,255,0,0,0,0,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,12,31
2021-07-01 18:26:58,733,733058,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.93,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,12,32
2021-07-01 18:26:58,733,733182,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,22,73,18,0,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,13,33
2021-07-01 18:26:58,733,733307,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.92,26.19,-0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,13,34
2021-07-01 18:26:58,733,733433,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.93,26.19,-0.20,0,1,,0.00,0,0,0,0,0,0,0,0,162,11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,46,,,14,35
2021-07-01 18:26:58,733,733558,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.92,26.19,-0.20,0,1,,0.00,0,0,0,0,0,0,0,0,163,11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,15,36
2021-07-01 18:26:58,733,733682,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.92,26.19,-0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,15,37
2021-07-01 18:26:58,733,733807,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.70,70.90,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,22,73,18,0,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,16,38
2021-07-01 18:26:58,733,733932,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,46,,,16,39
2021-07-01 18:26:59,734,734058,1190107303,472,408,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,162,11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,17,40
2021-07-01 18:26:59,734,734182,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.92,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,17,41
2021-07-01 18:26:59,734,734308,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.91,26.19,0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,0,0,1,6,2,51.80,0.30,0,22,73,18,0,149,100,45,,,18,42
2021-07-01 18:26:59,734,734432,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.91,26.19,0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,18,43
2021-07-01 18:26:59,734,734557,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.91,26.19,0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,219,255,0,0,0,0,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,19,44
2021-07-01 18:26:59,734,734682,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.91,26.19,0.20,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,19,45
2021-07-01 18:26:59,734,734808,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.60,71.00,1014.91,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,22,73,18,0,,,,,,,,,,,,,,,,,51.80,0.30,0,22,73,18,0,149,100,45,,,20,46
2021-07-01 18:26:59,734,734934,1190107303,125,93,-1623,12,1,,0,0,0,0,-1.50,71.10,1014.91,26.19,0.00,0,1,,0.00,0,0,0,0,0,0,0,0,163,11,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.90,0.30,0,22,73,18,0,149,100,45,,,21,47
